W³aœciwoœci próbki : Etykietka próbki;"Zn0.05Zr_250_02"
W³aœciwoœci próbki : Œrednica;"4,07000";mm
W³aœciwoœci próbki : Wysokoœæ kowade³ka;"6,31000";mm
Test : Tempo 1;"0,01000";%/s

Godzina;Przemieszczenie;obci¹¿enie;Naprê¿enie œciskaj¹ce;Odkszta³cenie przy œciskaniu (Przemieszczenie)
(s);(mm);(N);(MPa);(mm/mm)
"0,00000";"0,01127";"64,86787";"4,98598";"-0,00001"
"0,10000";"0,01127";"64,68802";"4,97216";"-0,00001"
"0,20000";"0,01119";"64,47034";"4,95543";"-0,00003"
"0,30000";"0,01118";"64,39904";"4,94995";"-0,00003"
"0,40000";"0,01118";"64,29066";"4,94162";"-0,00003"
"0,50000";"0,01118";"64,16225";"4,93175";"-0,00003"
"0,60000";"0,01127";"64,06751";"4,92447";"-0,00001"
"0,70000";"0,01127";"63,95906";"4,91613";"-0,00001"
"0,80000";"0,01127";"63,93674";"4,91441";"-0,00001"
"0,90000";"0,01127";"63,82400";"4,90575";"-0,00001"
"1,00000";"0,01136";"63,74954";"4,90003";"0,00000"
"1,10000";"0,01136";"63,69376";"4,89574";"0,00000"
"1,20000";"0,01144";"63,66255";"4,89334";"0,00002"
"1,30000";"0,01144";"63,63391";"4,89114";"0,00001"
"1,40000";"0,01153";"63,62708";"4,89061";"0,00003"
"1,50000";"0,01162";"64,65871";"4,96991";"0,00004"
"1,60000";"0,01186";"68,49654";"5,26490";"0,00008"
"1,70000";"0,01201";"70,62328";"5,42837";"0,00011"
"1,80000";"0,01209";"71,75799";"5,51558";"0,00012"
"1,90000";"0,01213";"72,69090";"5,58729";"0,00012"
"2,00000";"0,01221";"73,49422";"5,64904";"0,00014"
"2,10000";"0,01230";"74,36757";"5,71617";"0,00015"
"2,20000";"0,01230";"75,03160";"5,76721";"0,00015"
"2,30000";"0,01238";"75,76550";"5,82362";"0,00016"
"2,40000";"0,01246";"76,57037";"5,88548";"0,00018"
"2,50000";"0,01247";"77,27303";"5,93949";"0,00018"
"2,60000";"0,01255";"78,10743";"6,00363";"0,00019"
"2,70000";"0,01263";"78,89158";"6,06390";"0,00020"
"2,80000";"0,01264";"79,56091";"6,11535";"0,00020"
"2,90000";"0,01272";"80,51656";"6,18880";"0,00022"
"3,00000";"0,01281";"81,45443";"6,26089";"0,00023"
"3,10000";"0,01286";"82,38654";"6,33253";"0,00024"
"3,20000";"0,01289";"83,23640";"6,39786";"0,00024"
"3,30000";"0,01298";"84,18176";"6,47052";"0,00026"
"3,40000";"0,01307";"85,14728";"6,54473";"0,00027"
"3,50000";"0,01311";"86,01891";"6,61173";"0,00028"
"3,60000";"0,01315";"86,90669";"6,67997";"0,00029"
"3,70000";"0,01324";"87,83688";"6,75147";"0,00030"
"3,80000";"0,01332";"88,77365";"6,82347";"0,00031"
"3,90000";"0,01335";"89,64035";"6,89009";"0,00032"
"4,00000";"0,01340";"90,54850";"6,95989";"0,00033"
"4,10000";"0,01349";"91,48396";"7,03180";"0,00034"
"4,20000";"0,01357";"92,43246";"7,10470";"0,00035"
"4,30000";"0,01358";"93,20820";"7,16433";"0,00035"
"4,40000";"0,01366";"94,11792";"7,23425";"0,00037"
"4,50000";"0,01375";"95,10703";"7,31028";"0,00038"
"4,60000";"0,01381";"96,01578";"7,38013";"0,00039"
"4,70000";"0,01383";"96,92786";"7,45023";"0,00039"
"4,80000";"0,01392";"97,84586";"7,52079";"0,00041"
"4,90000";"0,01401";"98,81281";"7,59512";"0,00042"
"5,00000";"0,01405";"99,65998";"7,66023";"0,00043"
"5,10000";"0,01409";"100,45383";"7,72125";"0,00043"
"5,20000";"0,01418";"101,35287";"7,79036";"0,00045"
"5,30000";"0,01426";"102,37932";"7,86925";"0,00046"
"5,40000";"0,01431";"103,25930";"7,93689";"0,00047"
"5,50000";"0,01434";"104,29897";"8,01680";"0,00048"
"5,60000";"0,01443";"105,16628";"8,08347";"0,00049"
"5,70000";"0,01451";"106,05800";"8,15201";"0,00050"
